Country Name,Country Code,Series,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.17435,..,..,..,10.19755,..,..
Albania,ALB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.25242,15.0763,14.8046,14.81613,14.69562,14.81892,..
Algeria,DZA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
American Samoa,ASM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Andorra,AND,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Angola,AGO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Arab World,ARB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.2634,11.41122,11.459,11.57364,11.6916,..,..
Argentina,ARG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.27014,17.40955,17.66886,17.6542,..,..,..
Armenia,ARM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.10354,12.96795,..,..,13.06861,13.10609,..
Aruba,ABW,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Australia,AUS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,23.08892,22.7473,21.95433,20.50924,..,..
Austria,AUT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.85573,15.95141,16.08119,16.09207,16.06675,..,..
Azerbaijan,AZE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,13.30998,13.47167,..
"Bahamas, The",BHS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Bahrain,BHR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.68833,15.99202,16.34917,16.41513,16.25482,16.29756,..
Bangladesh,BGD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,11.59809,12.03569,..,..
