Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,..,2085.47096549708,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.763,64.13,64.486,..,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.02,25.25,25.495,25.754,..
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,51.3,49.6,48,46.5,..
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,33.981,33.211,32.487,..,..
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.742,6.575,6.423,..,..
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.8,4.633,4.473,..,..
Albania,ALB,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,12525.1392034807,12845.2559416078,13352.9545471421,..,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.194,78.333,78.458,..,..
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.421,59.383,60.319,61.229,..
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.4,8.4,8.5,8.6,..
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.08,11.934,11.78,..,..
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.534,7.714,7.898,..,..
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.659,1.638,1.617,..,..
Algeria,DZA,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,11706.2205502256,11558.6247964849,11354.1619988546,11229.7952703067,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.298,76.499,76.693,..,..
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.459,72.052,72.629,73.189,..
